artist,lyrics,song,album,releaseyear
Jidenna,"Niggas fighting over rings,Niggas wanna be the King, but,Long Live the Chief,For a li' ol' thang lil' boys bang bang,Long Live the Chief,Niggas fighting over rings,Niggas wanna be the king, but,Long Live the Chief,Yeah i watch pretty mama while I slang my cane,Long Live the Chief,Uh,Cockroaches in the rat shit,Hand me downs with the patches,Mama put a little money in the mattress,Taught me how to make a silver spoon out of plastic,You can either sink, swim or be the captain,Get the last word Ima get the last laugh in,Now they say ""Jidenna why you dressing so classic?"",I don't want my best dressed day in a casket,You can either lead, follow or get out the way,Make a fuckin' move it would make my fuckin' day,Got a 100 year plan you jus' think about today,Always been about time more than been about pay,Can't rump with me,Usain couldn't run with me,Chief come to find you,You don't come for me,At best you can run a lil' company,Nigga at worst, I could run the whole country,Thats right - pimp game like a brothel,Thats why - I don't judge a niggas hustle,I AirBnB the crib like a hostel,Summer rate cheaper because the streets get hostile,Shaka boy, this fire from Mojave boy,So no I won't record for your homie boy,I turn the party out like a naughty toy,Then I go and hide in plain sight like a lobby boy,Yessuh, that's Jidenna on the banner,Ridin' for my niggas gettin' locked up in the slammer,Elders saying everything's a nail to a hammer,And niggas can't spell but we know our Instagrammar,Well done's better than well said,I read niggas well, a nigga well read,Really I ain't met nobody smarter,Thats why I got admitted but I still rejected Harvard,I'm the fresh prince, in a school where they couldn't read,Mama put me in a school with the Kennedys,When I met Bill Clinton I was seventeen,But dead presidents is all my niggas need,Dining with the governor's daughter,And her father say I remind him of Obama,I'm the chief diplomat... every day,And I'm black and white... Janelle Monae,It wont be the game, but,Long Live The Chief,For a li' ol' thang lil' boys bang bang,Long Live the Chief,Niggas fighting over rings,Niggas wanna be the King, but,Long Live the Chief,Now watch pretty mama while I slang my cane,Long Live the Chief",Long Live the Chief,The Chief,2017
Lupe Fiasco,"It's so loud inside my head,With words that I should have said,As I drown in my regrets,I can't take back the words I never said,I can't take back the words I never said,I really think the war on terror is a bunch of bullshit,Just a poor excuse for you to use up all your bullets,How much money does it take to really make a full clip?,9/11, Building 7, did they really pull it?,Uh, and a bunch of other cover ups,Your child's future was the first to go with budget cuts,If you think that hurts them, wait, here comes the uppercut,The school was garbage in the first place, that's on the up and up,Keep you at the bottom, but tease you with the upper crust,You get it, then they move it, so you never keeping up enough,If you turn on TV, all you see's a bunch of what-the-fucks,Dude is dating so-and-so, blabbering 'bout such and such,And that ain't Jersey Shore, homie that's the news,And these the same people supposedly telling us the truth,Limbaugh is a racist, Glenn Beck is a racist,Gaza Strip was getting bombed, Obama didn't say shit,That's why I ain't vote for him, next one either,I'ma part of the problem, my problem is I'm peaceful,And I believe in the people,Yeah,It's so loud inside my head,With words that I should have said,As I drown in my regrets,I can't take back the words I never said,Now we can say it ain't our fault if we never heard it,But if we know better, then we probably deserve it,Jihad is not a holy war, where's that in the worship?,Murdering is not Islam, and you are not observant,And you are not a Muslim,Israel don't take my side, 'cause look how far you've pushed them,Walk with me into the ghetto, this where all the kush went,Complain about the liquor store, but what you drinking liquor for?,Complain about the gloom, but when'd you pick a broom up?,Just listening to Pac ain't gon' make it stop,A rebel in your thoughts, ain't gon' make it halt,If you don't become an actor, you'll never be a factor,Pills with million side effects, take 'em when the pain's felt,Wash them down with diet soda, killin' off your brain cells,Crooked banks around the world would gladly give a loan today,So if you ever miss payment they can take your home away,It's so loud inside my head,With words that I should have said,As I drown in my regrets,I can't take back the words I never said, never said,I can't take back the words I never said,I think that all the silence is worse than all the violence,Fear is such a weak emotion, that's why I despise it,We scared of almost everything, afraid to even tell the truth,So scared of what you think of me, I'm scared of even telling you,Sometimes I'm like the only person I feel safe to tell it to,I'm locked inside a cell in me, I know that there's a jail in you,Consider this your bailing out, so take a breath, inhale a few,My screams is finally getting free, my thoughts is finally yelling through,It's so loud inside my head,With words that I should have said,As I drown in my regrets,I can't take back the words I never said",Words I Never Said,Lasers,2011
Nicki Minaj,"I'm shit with no makeup, don't have to curl my hair up,All this booty here, mine, I'm a dollar worth a dime,Real bosses stand up, ladies throw your hands up and say,""I know I'm cute I know I'm fly. You ask me why? Cause I'm shit!"",I'm legit with no makeup, don't have to curl my hair up,All this booty here, mine, I'm a dollar worth a dime,Real bosses stand up, ladies throw your hands up and say,""I know I'm cute I know I'm fly. You ask me why? Cause I'm shit!"",Beat em' like they stole some, beat em' like they stole some,All this booty here got 'em dreaming, lemme hold some,Let me, let me hear that boy, let me, let me wear that boy,Let me get the most expensive car, and let me steer that boy,Real big pretty titty, shut down every city,If you want the kid kitty, gotta get the key from me,All new everything, plus pay the rent for me,If we in the wilderness, niggas pitch the tent for me,Tent for me, tent for me, get me bodied,Long hair, no makeup, doing pilates,Those niggas don't step on my damn Zanottis,All them bitches my sons but who's the Daddy?,I graduate with honors, I ball, 'Nead O'Connor,I did a freestyle, then I got a shout out from Obama,Yes, yes, I am ill I go in for the kill,Hoes is my sons, birth control, I am on the pill,What I gotta do? What I gotta do to 'em?,Step up in the club, everybody like who them?,Girls girls, me and my girls,What you done did? I need some referrals,Motherfuckers know I'm the shit, legit,And if a motherfucker don't he can suck my dick,I tell 'em, ""Everybody else is my opposite!"",I put 'em on the game, give 'em five percent,I'm shiit with no makeup, don't have to curl my hair up,All this booty here, mine, I'm a dollar worth a dime,Real bosses stand up, ladies throw your hands up and say,""I know I'm cute I know I'm fly. You ask me why? Cause I'm shit!"",I'm shit with no makeup, don't have to curl my hair up,All this booty here, mine, I'm a dollar worth a dime,Real bosses stand up, ladies throw your hands up and say,""I know I'm cute I know I'm fly. You ask me why? Cause I'm shit!"",I'm like really famous, I got a famous anus,No, not Famous Amos, all this fame is heinous,Lemme, lemme hear that boy, lemme, lemme wear that boy,All this money coming in, but I never share that, boy,No lipstick, no lashes though,But I got a real big ol' ratchet, though,I said dude, yo dude, you packing dough,He said he want a good box like Pacquiao,I said, ""Well, my name Nicki and it's nice to meet you."",If you really wanna know, I'll give you my procedure,Got a whole bunch of pretty gang in my clique,And we lookin' for some ballers, alopecia,I hate wack niggas, I should really slap niggas,These niggas trippin' when I put 'em on the map niggas,How you gon' break fly? How you gon' fake die?,Ain't at no wedding but all my girls cake, ha!,Sleeping on me, no mattress though,I'm a burn the beat down, no matches though,No they can't keep up? They molasses slow,I'm the greatest Queens bitch, with the cashes flow,Looking at me like it's my fault,Trying to take sneak pictures with they iPhone,I like independent bitches like July 4th,Now that's what young Harriet died for,I'm shit with no makeup, don't have to curl my hair up,All this booty here, mine, I'm a dollar worth a dime,Real bosses stand up, ladies throw your hands up and say,""I know I'm cute I know I'm fly. You ask me why? Cause I'm shit!"",I'm shit with no makeup, don't have to curl my hair up,All this booty here, mine, I'm a dollar worth a dime,Real bosses stand up, ladies throw your hands up and say,""I know I'm cute I know I'm fly. You ask me why? Cause I'm shit!""",I'm Legit,Pink Friday: Roman Reloaded - The Re-Up,2012
Gorillaz,"You are now tuned into the tomb of Jehova,Play my tunes loud enough to shake the room, what's the hold up?,Heard the world is ending soon I assumed that they told ya,They tryna dinosaur us,So now it's time to go up,The sky's falling, baby,Drop that ass 'fore it crash (higher),The sky's falling, baby,Drop that ass 'fore it crash (higher),The sky's falling, baby,Drop that ass 'fore it crash (higher),The sky's falling, baby,Drop that ass 'fore it crash (higher),The roof is on fire,She wet like Barbra Streisand,Police everywhere,It's like a nigga killed a white man,I just wanna find a baby mama 'fore the night end,So don't be coming 'round Vince,On that batter ram shit,On that 911 shit,Need a misses brown as Missy,I can have some fun with,Them slave bones make Grace Jones,Don't stop, bitch, stay focused,They hated on us since days of Moses,Let my people go crazy,Them stars falling, don't chase 'em,The sky's falling, baby,Drop that ass 'fore it crash (higher),The sky's falling, baby,Drop that ass 'fore it crash (higher),The sky's falling, baby,Drop that ass 'fore it crash (higher),The sky's falling, baby,Drop that ass 'fore it crash (higher),Attack on Iraq,It's on a line,Typing it fast,Then it's slipping my mind,Oh, when I'm drunk,I'm spirited back,I fall in a fire then I save myself,Then I get advantage,'Cause the feeling's so raw,In these times of sedition,Well, nothing is dull,And I'm moving into stillness,And recalling it all,And I'm a lover, just a lover, just a lover, just a lover, just a-,The sky's falling, baby,Drop that ass 'fore it crash (higher),The sky's falling, baby,Drop that ass 'fore it crash (higher),The sky's falling, baby,Drop that ass 'fore it crash (higher),The sky's falling, baby,Drop that ass 'fore it crash (higher),All these liberated women sitting in my lap,I'm finna catch a body like I got a gun and badge,I'm finna turn Obama to my patna 'fore he dash,Pull up to the pad, wipe my ass with the flag,I'm just playing, baby, this the land of the free,Where you can get a Glock and a gram for the cheap,Where you can live your dreams long as you don't look like me,Be a puppet on a string, hanging from a fucking tree,(Aghh!),The sky's falling, baby,Drop that ass 'fore it crash (higher),The sky's falling, baby,Drop that ass 'fore it crash (higher),The sky's falling, baby,Drop that ass 'fore it crash (higher),The sky's falling, baby,Drop that ass 'fore it crash (higher)",Ascension,Humanz,2017
JAY-Z,"I got a million ways to get it, choose one,Bring it back, bring it back,Now double your money and make a stack,I'm on to the next one, on to the next,I'm on to the next one, on to the next,I'm on to the next one, on to the next,I'm on to the next one, on to the next,Hold up, freeze, hey,Somebody bring me back some money please, hey,Hov' on that new shit, niggaz like, ""How come?"",Niggas want my old shit, buy my old album,Niggas stuck on stupid, I gotta keep it movin',Niggas make the same shit, me I make ""The Blueprints"",Came in the Range, hopped out that Lexus,Every year since, I been on that next shit,Traded in the gold for the platinum Rolex's,Now a nigga wrist match the status of my records,Used to rock a throwback, ballin' on the corner,Now I rock a Teller suit, lookin' like a owner,No I'm not a Jonas Brother, I'm a grown up,No I'm not a virgin, I use my cojones,I move onward, the only direction,Can't be scared to fail, searchin' perfection,Gotta keep it fresh, girl, even when we sexin',But don't be mad at him when he's on to the next one,Freeze, hey,Somebody bring me back some money please, hey,I got a million ways to get it, choose one,Hey, bring it back, bring it back,Now double your money and make a stack,I'm on to the next one, on to the next,I'm on to the next one, on to the next,I'm on to the next one, on to the next,I'm on to the next one, on to the next,Hold up, freeze, hey,Somebody bring me back some money please, hey,Fuck a throwback jersey 'cause we on to the next one,And fuck that Auto-Tune 'cause we on,And niggas don't be mad 'cause it's all about progression,Loiterers should be arrested,I used to drink Cristal, them fuckers racist,So I switched gold bottles on to that Spade shit,You gonna have another drink or you just gonna babysit?,On to the next one, somebody call the waitress,Baby, I'm a boss, I don't know what they do,I don't get dropped, I drop the label,World can't hold me, too much ambition,Always knew it'd be like this when I was in the kitchen,Niggas in the same spot, me, I'm dodgin' raindrops,Meanin' I'm on vaca', chillin' on a big yacht,Yeah, I got on flip flops, white Louie boat shoes,Y'all should grow the fuck up, come here let me coach you, hold up,Freeze, hey,Somebody bring me back some money please, hey,I got a million ways to get it, choose one,Hey, bring it back, bring it back,Now double your money and make a stack,I'm on to the next one, on to the next,I'm on to the next one, on to the next,I'm on to the next one, on to the next,I'm on to the next one, on to the next,Hold up, freeze, hey,Somebody bring me back some money please, hey,Big Pimpin' in the house now,Bought the land, tore the motherfuckin' house down,Bought the car, tore the motherfuckin' roof off,Ride clean, I don't ever take shoes off,Bought the Jeep, tore the motherfuckin' doors off,Foot out that bitch, ride the shit like a skateboard,Navigation on, tryin' to find my next thrill,Feelin' myself, I don't even need an X pill,Can't chill but my neck will,Haters really gonna be mad off my next deal,Uh, I don't know why they worry 'bout my pockets,Meanwhile I had Oprah chillin' in the projects,Had her out in Bed-Stuy, chillin' on the steps,Drinkin' quarter waters, I gotta be the best,M.J. at Summer Jam, Obama on the text,Y'all should be afraid of what I'm gonna do next, hold up,Freeze, hey,Somebody bring me back some money please, hey,I got a million ways to get it, choose one,Hey, bring it back, bring it back,Now double your money and make a stack,I'm on to the next one, on to the next,I'm on to the next one, on to the next,I'm on to the next one, on to the next,I'm on to the next one, on to the next,Hold up, freeze, hey,Somebody bring me back some money please, hey",On To The Next One,The Blueprint 3,2009
Vinnie Paz,"The greatest form of control is when you think you're free,But you're being fundamentally manipulated and dictated to,One form of dictatorship is being in a prison cell and you can see the bars and touch them,The other one is sitting in a prison cell but you can't see the bars but you think you're free,What the human race is suffering from is mass hypnosis,We are being hypnotized by people like this newsreaders,Politicians,Teachers,Lecturers,We are in a country and in a world that is being run by unbelievably sick people,The chasm between what we're told is going on and what is really going on is absolutely enormous.,It's like we all know it's going down,But no one's saying shit,What happened to the home of the brave?,These motherfuckers they controling us now,But no one is talkin' about,It made us modern day slaves,And everybody's just walking around,Head in the clouds,We won't awake until we're dead in the grave,By then it's too late,We need to be ready to raise up,Welcome to the end of days!,Everybody is slave,Only some are aware,That the government releasing poison in the air,That's the reason I collect so many guns in my lair,I ain't never caught slipping,never underprepared,Yeah, they? on me, they? proudly,George Bush the grandson of Aleister Crowley,They want you to believe the lie that the enemy Saudi,The enemy ain't Saudi,The enemy around me,There's fluoride in the water but nobody know that,It's also a prominent ingredient in Prozac,For real?,How could any government bestow that?,A proud people who believe in political throwback,That's not all that I'm here to present you,I know about the black pope in Solomon's Temple,Yeah,About the Vatican assassins and how they will get you,And how they cloned Barack Hussein Obama in a test tube,It's like we all know it's going down,But no one's saying shit,What happened to the home of the brave?,These motherfuckers they controling us now,But no one is talkin' about,It made us modern day slaves,And everybody's just walking around,Head in the clouds,We won't awake until we're dead in the grave,By then it's too late,We need to be ready to raise up,Welcome to the end of days!,Whoever built the pyramids had knowledge of electrical power,And you know that that's the information that they suppress and devour,Who you think the motherfuckers that crashed in the tower?,Who you think that made it turn into ash in an hour?,The same ones that invaded Jerome,The ones that never told you about the skeletons on the moon,Yeah,The ones that poison all the food you consume,The ones that never told you about Mount Vesuvius Tomb,The Bird Flu is a lie,The Swine Flu is a lie,Why would that even come as a surprise?,Yeah,The Polio vaccine made you die,It caused cancer and it cost a lot of people their lives,Do y'all know about Bohemian Grove?,How the world leader sacrificing children in robes?,Lucifer is God in the public school system,I suggest you open up your ears and you listen!,It's like we all know it's going down,But no one's saying shit,What happened to the home of the brave?,These motherfuckers they controling us now,But no one is talkin' about,It made us modern day slaves,And everybody's just walking around,Head in the clouds,We won't awake until we're dead in the grave,By then it's too late,We need to be ready to raise up,Welcome to the end of days!,The greatest hypnotist on the planet Earth is an oblong box in the corner in the room,It is constantly telling us what to believe is real,If you can persuade people that what they see with their eyes is what there is to see you've got them,Because they'll laugh in your face of an explanation then which portrays the big picture of what's happening,And they have!",End of Days,Season of the Assassin,2010
Rick Ross,"Yo this Chris Rock.,I'm in here with my man Ricky Rozay.,We in here drinkin' this Belaire Rose.,That's how we do it.,That's all we do.,Belaire Rose!,Eatin' Wingstop, what you know about Wingstop, nigga?,You don't know nothin' about no Wingstop.,You can't handle this, nigga.,You can't handle, sit down in the corner,,Shut the fuck up and take notes, bitch,Just take notes,I used to see niggas on TV, man,I used to be like, ""Yo them niggas so blessed, you know what I'm sayin'?"",If I had that opportunity, you know what I'm sayin'?,Maybach Music,Black Metaphor,I grew up on that Cash Money,Bling bling, was well known to flash money,Hit the liquor store, after my Vic authority,Quick to switch a bitch up, pick up me a thicker shorty,Pistol on me, nigga, ain't no pickin' on me,We veterans so it's better if you go get your army,A thug holiday is where your body lay,Me and Trick Daddy come from a common place,So us gettin' money, that's just a conversation,It's so hard stayin' rich and miss the confrontations,Cigars in the oval office, Ronald Reagan,Heard Barack Obama whisper asalaam alaikum,Live for the moment, die for the streets,Bible on the dash, kilos on the seat,I used to see you niggas on my TV screen,And wondered what was life like, was it all a dream?,And then I met you out on LiveNation dates,Came to the realization that your watch was fake,Damn... you nearly broke my heart,I really thought you niggas really owned them cars,I used to look up to you, nigga, uh,Hard to point a finger when you live a life of sin,I'ma bring my niggas with me if I lose or win,Bought a fleet of cars, let the bitches tag along,This little thing of ours, not the ones to tattle on,Omerta the code, Met Ball, parties with Vogue,Still blowin' thick smoke while you powder your nose,Such a head rush until the day the feds rush,That's when you niggas wish you put your bread up,Leased whips, bad blood, that shit'll sink ships,Fast money comin' slow, you better think quick,Rap game, so much fuck shit done,That's why this .45 in my Trukfit trunks,Fuck a skateboard, I went and got a Wraith, boy,Catholic record labels, niggas gettin' raped, boy,Birdman's a priest, moans in his synagogue,Publishin' is a sin, repent, forgive me, Lord,Shots fired, home invasion out on Palm Isle,Red beam detonators, who the bomb now?,Look you in your eyes, nigga, 'fore I say good night,And pray that Mannie Fresh'll get to see the light,Damn, Stunna, I loved you, nigga,Hate it came to this,Maybach Music,You stole them boys pub and bought a foreclosure,Scott Storch demons in it, which is more poison,I handed over records, never charged a coin,But could sense the sentiment, I'm talkin' all along,All Miami issues, Rozay handle for him,Same way Big Ducky do for me in California,Never slippin', got relationships with the trillest niggas,Tony Draper, J Prince and ever Jimmy Henchmen,Plenty killers and I know that Diddy with it,Tyga, chinchilla, really ain't no penny pinchin',Knew that you would never visit BG,Turk came home, take that boy a three piece,Shootin' dope, usin' coke, movin' like you the Folks,Sacrificin' half our life for your new music cult,You would give us self esteem and motivate our drive,But was in our pockets by the time we count to five,I pray you find the kindness in your heart for Wayne,His entire life, he gave you what there was to gain,I watched this whole debacle so I'm part to blame,Last request, can all producers please get paid?,Can't believe this shit, homie,I still love you, nigga,How the fuck, nigga, you touch half a billion, nigga,And your team starvin', nigga,You on an island, nigga,You came to my city, nigga,I let you in my city, nigga,And what hurt me the most, nigga,Is how you did my brother Khaled, nigga,Khaled was loyal to you, nigga,The pain I seen in my brother's eye, nigga,FaceTimin' my nigga, nigga, he took that to the chin, nigga,That's why my nigga blessed,That's why my nigga Khaled blessed,You put my nigga in the hole, homie,I don't feel you for that, my nigga,That shit hurt me, you under-dig? Uh,It's painful what you see real niggas do when they get the paper,When they get the bag,You can't never forget 'bout lil bruh and them,I'll never forget 'bout lil bruh and them,Lil bruh and them, always remember,Lil bruh and them, this for lil bruh and them,Stunna",Idols Become Rivals,Rather You Than Me,2017
Chance the Rapper,"Chance The motherfuckin' rapper,With a capitalized, uh, times, not the times but you know what I'm saying the times Thugger,Lil Boat,Chance,Lil Boat,Am I the only nigga still care about mixtapes,Am I the only nigga still care about mixtapes,I'm the only nigga still care about mixtapes,Bad little bitch, wanna know how lips taste,I swear I'm the only nigga still care about mixtapes,Bad little bitch, wanna know how the lips taste,All I can hear is the third, ayy,All I can hear is the third, ayy,We don't know none of your words, ayy,We don't know none of your words, ayy,I love my women real tall, ayy,Type that can really play ball, ayy,You buy my hat at the park, ayy,Think I might really play ball, ayy,I got a link in my bio, my bitch do the salsa like pico de gallo,They gotta ask if they may, Cinco de Mayo,How can they call themselves bosses,When they got so many bosses,You gotta see what your boss say,I get it straight out the faucet,I ain't felt like this since the third drought, third carter drop,Told my momma third grade I'd be in the third Barbershop,And you know momma got real worried when she heard college drop,But now I call the shots,I'm the only nigga still care about mixtapes,Bad little bitch wanna know how lips taste,I swear I'm the only nigga still cares about mixtapes,Bad little bitch wanna know how lips taste,Bad little mama, she gettin' it Obama,She sting like a bumble bee, hot as the sauna,She shine like a Rollie, got that from her momma,Can't see me, can't be me, I'm ridin' like a panda,That booty gon' roll and it's outta control,And these bitches gon' fuck off respect and that loyalty,All my bitches lovin' me and they spoil me,Rub me down with that lotion, baby oil me,Drinking Actavis, baby I'm showin' me,In that choppa I see your perimeter,Change the culture, cause my ring is a solar,Wait one minute I told you,Yeah, I would like to know you,Yeah, you lucky like clovers,Yeah, the clothes no good,Mama I do it, your ass I pursue it,Just look at me baby,I came from the sewers,They love all the slime ball,Like they fuck all these cats on your slime dog,That got me serene like I'm breakin' a bar,And I'm ballin' on you like I'm Chris Paul,I'm the only nigga still care about mixtapes,Bad little bitch wanna know how lips taste,I swear I'm the only nigga still care about mixtapes,Bad little bitch wanna know how lips taste,Am I the only one who really care about cover art,Growing up I ain't have my brother cause he said the streets gave him a fresh start,I ain't know what that mean,I bumped heads with my dean,Dropped out and hit the scene,Now I'm stunting like bling,Time and time again they told me no,They told me I wouldn't go,Cause in high school all I cared about was hoes,Well, maybe that shit was my interest,Now I spend more than they make at my dentist,After 1Night the folks thought I was finished,I pin my name to the game like a seamstress,Oh, bitch I bite like a gator,Fuck them reviews that they put in the paper,Did what I wanted, didn't care about a hater,Delivered my tape to the world as a caterer,Oh, they fuck with me cause I'm different,New sound, new appearance,Bitch it's Boat from the 6,Give a fuck about a bitch,Walk out, my hand on my dick, I'm the shit,I'm the only nigga still care about mixtapes,Bad little bitch wanna know how lips taste,I said am I the only nigga still care about mixtapes,Bad little bitch wanna know how lips taste",Mixtape,Coloring Book,2016
Hopsin,"You think you original? You ain't original.,You were programmed to be you. You're a slave and you don't even know it.,The shit you think of ain't even your thoughts.,Let's step out the box for a minute,How do we know if God exists?,How do we know what's positive?,Are you the definition of an angel or the opposite?,If you lost your wallet and I found it, I would not commit,To stealing it, but if the tables turned then you would pocket it,See I been me for so long, but I still don't know who Hopsin is,How come I'm the one my teachers used to have a problem with?,I show my music to different labels, they ain't too fond of it,But in the underground I seem to get so many compliments,Say my name and it's like people get afraid and shook,But if you take a look you'll see I'm nothing like an angry crook,I'm learning hands-on, you busy with your face in books,I'm here to benefit the world so Heaven's where we're safely put,I'm not a devil, not speakin' in tongues,I just wanna touch your heart, I try to reach it in songs,I'm from where a child's future's in the streets with the bums,Because it's hard to become something so unique where I'm from,When the sun's down,Nocturnal rainbows soar in the air so high,It may seem so that I can't see,But the darkness provides the light for me,I don't wanna be lonely,And the moon is my only homie,If there's a higher power then show me,Instead of nocturnal rainbows,Obama's president, so? What's he represent?,Just because the nigga's half black don't mean he's Heaven-sent,You're clueless to evidence and all the minds he's messin' with,His charm and smile hasn't got my ass up out this debt for shit,Frontin' like he's truly Jesus,And all you fools believe it,The change he's making isn't good, that's just how you conceived it,It's like we all broker than ever, it's due to reasons,Dealing with self-beneficial plans and the movement he's with,Illuminati, or whatever the fuck they go by,They're the reason weird shit happens, and we don't know why,Why did Michael Jackson start his tour than have to go die?,How did rap music go from really good to so dry?,Real artists get shelved and wack one's get famous,To leave masses brainless, a smart mind is dangerous,In their eyes there probably ain't no real shit in your playlist,You're just a product of what the government has created,When the sun's down,Nocturnal rainbows soar in the air so high,It may seem so that I can't see,But the darkness provides the light for me,I don't wanna be lonely,And the moon is my only homie,If there's a higher power then show me,Instead of nocturnal rainbows,We're all smart and we know what's bad and good for us,But yet when you got offered some marijuana, you took a puff,Your brain's a fucking powerhouse, but what? That wasn't good enough?,It's people like you who talk that ""should've, could've, would've"" stuff,You probably threw your life away cuz you would rather get high,With no license or car, so you bum rides to get by,Saying ""I should've did this"" or ""I shouldn't have hung with this guy"",""I'm broke as fuck, my rent's high. Ah, I should've realized"",I ain't being cruel, these situations that I address,I more than likely could be someone you admire, yes,But it's because the blood, sweat and all the time that I invest,We play the same game, difference is you never try your best,You don't have a skill, you set yourself up for a higher mess,I work around the clock, you slack off a lot for time to rest,Keep bullshittin' till your life is gone,Cause living's naturally hell, you have to work to put a smile on,so high,",Nocturnal Rainbows,Raw,2010
BROCKHAMPTON,"I might go Interstellar,I feel like Matthew McConaughey,I don't care for what they gotta say,Tony Perkis how I drop the weight,Jason Bourne with the headshot,Jason Statham with the whip game,Liam Neeson with the rescue,I go Gunnar with the leather face,Bruce Campbell with the chains,Tobin Bell with the saw,Anthony Hopkins, I'm eatin' 'em raw,They don't know who we are,Molly Shannon I'm a superstar,Ride or die like it's sea biscuit,Tryna stack like Tobey,John Wick, I don't leave a witness,Chris Paul, I'm assistin',Ameer going Blake Griffin,Give me forty-eight minutes,We go '04 Pistons,Catch a fade like Robert Horry,Only time to get the spotlight,Deray how I'm top flight,Go Obama when I drop mics,I'm the black Tom Hanks,You can call me nigga Banks,Secret Agent Cody Banks,Quarter pound of the dank,On the scale and it stank,Throwin' mama in a range,I just bought a new Wraith,Nic Cage with the face off,John Travolta when I take off,Brad Pitt, start a fight club,Turn the trap into the nightclub,I'm like Prince with the white doves,Paint a picture with the white dust,Lionel Ritchie with the white bitch,Try to tell it to her nicely, but she never wanna listen,Beat the pussy to submission,Tom Cruise on a mission,Pull a RnB singer, bring her back to South Central,I shine just like a popstar, MJ my initial,Kobe Bryant with the spin moves,If these niggas got issues, H-town with Beyoncé,Turn her to my prom date,King pin like Jay Z, dance moves like J.T,Heath Ledger with some dreads,I just gave my nigga head,Standing on my two legs,Fuck what that nigga done said,Bruh, I don't fuck with no white boys,Less the nigga Shawn Mendes,I been off and I been dead,Bad as hell, I don't bench press,High school, they ain't fuck with me,Now the critics don't fuck with me,My own fam ain't fuck with me,But Viceland did fuck with me,I'm the only popstar with no money,Can't drive, so I'm still running,Uber takin' all my show money,But that's okay, I got more money,Not enough to get my teeth fixed,So my boyfriend in the street, bitch,In the moonlight I get seasick,Did ya see all that, all that we did?,Did all this shit in the weekend,We was up all late tweakin' (yeah!),Ice Cube on a Friday, Chris Tucker on a Friday,Michael Cera on a Friday, Jonah Hill on a Friday,Rockin' leaves, blood diamonds,Sucked off on the highway,Police right behind me,Like a nigga stole his OJ,Okay, I don't play,Got the same last name as O.J",STAR,SATURATION,2017
Vince Staples,"Bitch you thirsty, please grab a Sprite,My Crips lurkin', don't die tonight,I just want to dance wit' you, baby,Just don't move too fast, I'm too crazy,Man down, down the ave and get shaded,Take a nigga mind off that,We can dip, fuck in the whip, slide right back,In the function, one wrong word, start bustin',Put that on my Yankee hat,I'm a gangsta Crip, fuck gangsta rap,Where the ladies at? Where the hoes? Where the bitches?,Every real nigga know the difference,Bandana brown like the dope daddy shootin' in the kitchen,Real Norfside nigga, never went to Poly, Wilson or Cabrillo,Cocaine color of a creole,T-scrap movin' for the d-lo, what he know?,I ain't never ran from nothin' but the police,I ain't never ran from nothin' but the police,I ain't never ran from nothin' but the police,From the city where the skinny carry strong heat,Norfside, Long Beach, Norfside, Long Beach,Hit the corner, make a dollar flip,And split the dollars wit' my mama children,Folks need Porsches, hoes need abortions,I just need y'all out of my business,Never no problem, playin' no pitches,Never no problem, sprayin' no witnesses,No face, no case, been wit' the shit,Hopped out broad day then emptied clips,Cut class cause it wasn't 'bout cash,School wasn't no fun, couldn't bring my gun,Know when change gon' come like Obama would say,But they shootin' everyday 'round my mama and them way,So we put a AK where Kiana and them stay,And that's for any nigga say he got a problem wit' me,How I'm Crippin' where I'm livin', come and follow me,Pistol poppin', Poppy Street,I ain't never ran from nothin' but the police,I ain't never ran from nothin' but the police,I ain't never ran from nothin' but the police,From the city where the skinny carry strong heat,Northside, Long Beach, Northside, Long Beach,Nate Dogg still here cause of niggas like me,Police still scared cause of niggas like me,In the hood like a dollar sweet tea or a Louis Burger,You ain't wit' the business, nigga,Who you murdered? You ain't heard of Coldchain,Best thang, smokin' out the city,Ridin' 'round wit' the same shotgun that shot Ricky,Lil' nigga should've zig-zagged, didn't get your back wet,Now these runnin'-Norfside niggas better factcheck,Frontin' wit' the gun talk, I ain't heard a clap yet,All my niggas from street, they a nigga best yes,'Cept for Little Halftime, Brody bangin' five blocks,Sorry, I hit your homie five times, better grab chalk,Did it, got away with it out the Civic,We Crippin', Long Beach City, pay a visit,Park Ramona, pop blocked a corner,Givin' hell 'til it's frozen over, I ain't never ran from nothin',I ain't never ran from nothin' but the police,I ain't never ran from nothin' but the police,I ain't never ran from nothin' but the police,From the city where the skinny carry strong heat,Northside, Long Beach, Northside, Long Beach",Norf Norf,Summertime '06,2015
